long,lat,X_CART,Y_CART
-123.5,41.0,0.0217400677855951,0.5929233715278789
-123.5,41.25,0.021663331418653273,0.6019294959366303
-123.5,41.5,0.02158661244041377,0.6109335795292384
-123.5,41.75,0.021509912534459514,0.6199354247128555
-123.5,42.0,0.021433233403404126,0.6289348316611065
-123.5,42.25,0.02135657676918417,0.6379315982797876
-123.5,42.5,0.021279944373355928,0.6469255201720379
-123.5,42.75,0.021203337977397086,0.6559163906029306
-123.5,43.0,0.021126759363013014,0.6649040004635274
-123.5,43.25,0.021050210332447993,0.6738881382343518
-123.5,43.5,0.020973692708801225,0.6828685899482991
-123.5,43.75,0.020897208336347853,0.691845139152962
-123.5,44.0,0.020820759080864972,0.7008175668723666
-123.5,44.25,0.020744346829962634,0.7097856515681261
-123.5,44.5,0.020667973493419946,0.718749169099994
-123.5,44.75,0.020591641003526468,0.7277078926857946
-123.5,45.0,0.02051535131542859,0.7366615928607746
-123.5,45.25,0.020439106407481256,0.7456100374363179
-123.5,45.5,0.020362908281605054,0.7545529914580404
-123.5,45.75,0.020286758963648545,0.7634902171632633
-123.5,46.0,0.020210660503755966,0.772421473937858
-123.5,46.25,0.0201346149767405,0.7813465182724373
-123.5,46.5,0.02005862448246277,0.7902651037179347
-123.5,46.75,0.019982691146215117,0.7991769808405041
-123.5,47.0,0.01990681711911113,0.8080818971757994
-123.5,47.25,0.019831004578480915,0.8169795971825876
-123.5,47.5,0.019755255728271963,0.8258698221957018
-123.5,47.75,0.019679572799455543,0.83475231037834
-123.5,48.0,0.01960395805043872,0.8436267966737141
-123.25,38.5,0.02755435882406285,0.5028825001553806
-123.25,38.75,0.027460313672559758,0.5118983235420742
-123.25,39.0,0.027366270404473873,0.5209139663712736
-123.25,39.25,0.02727223086634773,0.5299292516205474
-123.25,39.5,0.027178196924741695,0.5389440003484159
-123.25,39.75,0.027084170466538656,0.5479580316651397
-123.25,40.0,0.0269901533992537,0.556971162703035
-123.25,40.25,0.02689614765134877,0.5659832085863039
-123.25,40.5,0.026802155172552567,0.5749939824003722
-123.25,40.75,0.02670817793418558,0.5840032951607236
