"CZ_TYPE","US_FIPS","lat","long"
"C",8043,38.45517,-105.424958
"C",8045,39.599352,-107.90978
"C",8047,39.861156,-105.528878
"C",8049,40.113065,-106.110837
"C",8051,38.670499,-107.05688
"C",8053,37.821165,-107.338261
"C",8055,37.687815,-104.959928
"C",8057,40.663432,-106.329248
"C",8059,39.579511,-105.245462
"C",8061,38.387663,-102.756849
"C",8063,39.30534,-102.603023
"C",8065,39.205341,-106.350079
"C",8067,37.287367,-107.839718
"C",8069,40.658093,-105.486764
"C",8071,37.318831,-104.04411
"C",8073,38.99374,-103.507555
"C",8075,40.728091,-103.090464
"C",8077,39.019524,-108.460571
"C",8079,37.549067,-107.003236
"C",8081,40.610864,-108.217154
"C",8083,37.338025,-108.595786
"C",8085,38.407507,-108.266282
"C",8087,40.263159,-103.81221
"C",8089,37.88417,-103.72126
"C",8091,38.154731,-107.78848
"C",8093,39.118914,-105.717648
"C",8095,40.594712,-102.345105
"C",8097,39.217538,-106.916159
"C",8099,37.958181,-102.392161
"C",8101,38.170658,-104.489892
"C",8103,39.972622,-108.200716
"C",8105,37.485853,-106.453128
"C",8107,40.483664,-106.987702
"C",8109,38.031651,-106.234666
"C",8111,37.781049,-107.670257
"C",8113,38.009319,-108.427263
"C",8115,40.871568,-102.355358
"C",8117,39.621023,-106.137555
"C",8119,38.869976,-105.187365
"C",8121,39.96579,-103.209744
"C",8123,40.555961,-104.383666
"C",8125,40.00077,-102.421649
"C",9001,41.227413,-73.367061
"C",9003,41.806053,-72.732916
"C",9005,41.791883,-73.235404
"C",9007,41.433003,-72.52278
"C",9009,41.349718,-72.900203
"C",9011,41.472652,-72.108634
"C",9013,41.858081,-72.340978
"C",9015,41.824999,-71.990702
"C",10001,39.097088,-75.502982
"C",10003,39.575915,-75.644132
"C",10005,38.673227,-75.337024
"C",11001,38.904247,-77.016517
"C",12001,29.67574,-82.357221
"C",12003,30.324442,-82.302284
"C",12005,30.238218,-85.63168
"C",12007,29.952386,-82.166679
"C",12009,28.298311,-80.700333
"C",12011,26.193535,-80.476683
"C",12013,30.388801,-85.197915
"C",12015,26.868974,-81.941278
"C",12017,28.84364,-82.52481
"C",12019,29.986584,-81.865036
"C",12021,26.118786,-81.400955
"C",12023,30.221651,-82.623371
"C",12027,27.190581,-81.806253
"C",12029,29.580899,-83.195666
"C",12031,30.335245,-81.648113
"C",12033,30.611638,-87.3389
"C",12035,29.474891,-81.286253
"C",12037,29.810176,-84.799174
"C",12039,30.578687,-84.612607
"C",12041,29.723456,-82.795801
"C",12043,26.95481,-81.19082
"C",12045,29.907257,-85.256537
"C",12047,30.491187,-82.951071
"C",12049,27.492846,-81.82158
"C",12051,26.539967,-81.152114
"C",12053,28.573043,-82.466227
"C",12055,27.34108,-81.342353
"C",12057,27.906607,-82.349719
"C",12059,30.862007,-85.815939
"C",12061,27.700528,-80.574789
"C",12063,30.789249,-85.208814
"C",12065,30.424558,-83.890859
"C",12067,29.990066,-83.17851
"C",12069,28.764113,-81.712282
"C",12071,26.559035,-81.891994
"C",12073,30.45931,-84.2778
"C",12075,29.284457,-82.783462
"C",12077,30.259849,-84.86858
"C",12079,30.447233,-83.470416
"C",12081,27.481682,-82.368767
"C",12083,29.202805,-82.0431
"C",12085,27.083604,-80.398201
"C",12086,25.61058,-80.497099
"C",12087,24.768883,-80.95327
"C",12089,30.605963,-81.765087
"C",12091,30.665851,-86.594187
"C",12093,27.385592,-80.887388
"C",12095,28.514391,-81.323284
"C",12097,28.059027,-81.139312
"C",12099,26.649126,-80.448354
"C",12101,28.307711,-82.464832
"C",12103,27.903108,-82.739519
"C",12105,27.953649,-81.693534
"C",12107,29.593896,-81.732039
"C",12109,29.890487,-81.40004
"C",12111,27.379814,-80.443536
"C",12113,30.701269,-87.01289
"C",12115,27.184386,-82.365835
"C",12117,28.690092,-81.131989
"C",12119,28.714101,-82.074347
"C",12121,30.189244,-82.992754
"C",12123,30.009908,-83.609483
"C",12125,30.05428,-82.366918
"C",12127,29.057769,-81.161792
"C",12129,30.139432,-84.374846
"C",12131,30.631211,-86.176614
"C",12133,30.602217,-85.662797
"C",13001,31.739712,-82.290103
"C",13003,31.296806,-82.878151
"C",13005,31.55021,-82.451433
"C",13007,31.31958,-84.454881
"C",13009,33.05949,-83.255457
"C",13011,34.351922,-83.498441
"C",13013,33.992009,-83.712303
"C",13015,34.240917,-84.838188
"C",13017,31.740772,-83.147197
"C",13019,31.288652,-83.22787
"C",13021,32.808845,-83.694194
"C",13023,32.435403,-83.331717
"C",13025,31.197334,-81.982978
"C",13027,30.822934,-83.581905
"C",13029,32.017969,-81.438543
"C",13031,32.391711,-81.744021
"C",13033,33.060181,-82.000164
"C",13035,33.290355,-83.958221
"C",13037,31.521279,-84.62629
"C",13039,30.913358,-81.642019
"C",13043,32.40395,-82.071266
"C",13045,33.582237,-85.080527
"C",13047,34.900218,-85.139386
"C",13049,30.779904,-82.139644
"C",13051,31.980404,-81.085184
"C",13053,32.347445,-84.788021
"C",13055,34.474178,-85.345289
"C",13057,34.244317,-84.475057
"C",13059,33.952185,-83.367152
"C",13061,31.619831,-84.992583
"C",13063,33.542686,-84.355573
"C",13065,30.917653,-82.702614
"C",13067,33.93993,-84.574112
"C",13069,31.549245,-82.84494
"C",13071,31.189707,-83.769773
"C",13073,33.547631,-82.252296
"C",13075,31.152516,-83.429445
"C",13077,33.352897,-84.762138
"C",13079,32.709428,-83.979187
"C",13081,31.915148,-83.753531
"C",13083,34.852424,-85.506201
"C",13085,34.442608,-84.173261
"C",13087,30.880643,-84.58389
"C",13089,33.770661,-84.226343
"C",13091,32.164369,-83.167866
"C",13093,32.151995,-83.807167
"C",13095,31.532588,-84.20904
"C",13097,33.701242,-84.767314
"C",13099,31.324191,-84.906723
"C",13101,30.714008,-82.897376
"C",13103,32.36168,-81.343372
"C",13105,34.116413,-82.841909
"C",13107,32.5911,-82.299763
"C",13109,32.153083,-81.890153
"C",13111,34.866543,-84.317331
"C",13113,33.412717,-84.493941
"C",13115,34.263692,-85.213685
"C",13117,34.225143,-84.127408
"C",13119,34.375266,-83.227532
"C",13121,33.790034,-84.468182
"C",13123,34.690506,-84.454624
"C",13125,33.227491,-82.606913
"C",13127,31.21271,-81.49645
"C",13129,34.509667,-84.873862
"C",13131,30.875908,-84.24508
"C",13133,33.57674,-83.166613
"C",13135,33.959146,-84.023087
"C",13137,34.634392,-83.525875
"C",13139,34.317569,-83.8185
"C",13141,33.26922,-83.000465
"C",13143,33.795165,-85.220063
"C",13145,32.731549,-84.912432
"C",13147,34.348733,-82.96329
"C",13149,33.291347,-85.137886
"C",13151,33.452947,-84.154021
"C",13153,32.458287,-83.662522
"C",13155,31.604306,-83.277037
"C",13157,34.130905,-83.562557
"C",13159,33.316981,-83.689151
"C",13161,31.811615,-82.636825
"C",13163,33.058176,-82.420004
"C",13165,32.794563,-81.971524
"C",13167,32.694584,-82.66397
"C",13169,33.021664,-83.562196
"C",13171,33.07444,-84.146689
"C",13173,31.038197,-83.063164
"C",13175,32.39322,-82.926317
"C",13177,31.818419,-84.146681
"C",13179,31.807458,-81.457871
"C",13181,33.792151,-82.448299
"C",13183,31.749563,-81.74287
"C",13185,30.833145,-83.268995
"C",13187,34.56814,-83.998925
"C",13189,33.479623,-82.478733
"C",13191,31.488506,-81.372289
"C",13193,32.362686,-84.051231
"C",13195,34.128526,-83.203737
"C",13197,32.359312,-84.528735
"C",13199,33.029267,-84.667058
"C",13201,31.162931,-84.730398
"C",13205,31.228997,-84.192038
"C",13207,33.017435,-83.922938
"C",13209,32.172108,-82.533349
"C",13211,33.598696,-83.499435
"C",13213,34.797097,-84.73799
"C",13215,32.510197,-84.874946
"C",13217,33.544041,-83.855184
"C",13219,33.834125,-83.437728
"C",13221,33.866806,-83.074081
"C",13223,33.92103,-84.867169
"C",13225,32.571324,-83.831978
"C",13227,34.456746,-84.490351
"C",13229,31.353998,-82.21037
"C",13231,33.081224,-84.389848
"C",13233,33.996015,-85.188338
"C",13235,32.238803,-83.481845
"C",13237,33.32106,-83.37179
"C",13239,31.862938,-85.004798
"C",13241,34.883934,-83.40487
"C",13243,31.762651,-84.752311
"C",13245,33.361486,-82.074998
"C",13247,33.652081,-84.02637
"C",13249,32.263444,-84.322708
"C",13251,32.744751,-81.617585
"C",13253,30.93396,-84.867685
"C",13255,33.262348,-84.284905
"C",13257,34.552914,-83.290216
"C",13259,32.073225,-84.834912
"C",13261,32.042266,-84.204294
"C",13263,32.704603,-84.530029
"C",13265,33.559319,-82.875272
"C",13267,32.043768,-82.059208
"C",13269,32.554667,-84.251426
"C",13271,31.913641,-82.931063
"C",13273,31.777191,-84.439446
"C",13275,30.864619,-83.919815
"C",13277,31.457003,-83.525931
"C",13279,32.117812,-82.330626
"C",13281,34.902529,-83.732264
"C",13283,32.409586,-82.570882
"C",13285,33.034482,-85.02836
"C",13287,31.7248,-83.620319
"C",13289,32.665847,-83.425879
"C",13291,34.833333,-83.989257
"C",13293,32.881837,-84.292283
"C",13295,34.735802,-85.305456
"C",13297,33.783887,-83.731829
"C",13299,31.050881,-82.421507
"C",13301,33.419169,-82.688012
"C",13303,32.971843,-82.798112
"C",13305,31.547845,-81.912376
"C",13307,32.046691,-84.553828
"C",13309,32.105258,-82.733849
"C",13311,34.643776,-83.743417
"C",13313,34.801726,-84.968541
"C",13315,31.96272,-83.438259
"C",13317,33.779031,-82.747921
"C",13319,32.804266,-83.175512
"C",13321,31.551773,-83.84996
"C",15001,19.597764,-155.502443
"C",15003,21.580023,-158.123406
"C",15005,21.218764,-156.97401
"C",15007,22.012038,-159.705965
"C",15009,20.855931,-156.60155
"C",16001,43.451477,-116.244376
"C",16003,44.877004,-116.461624
